student_id,enrollment_date,age,gender,gpa,attendance_pct,assignments_submitted,lms_logins_30d,forum_posts_30d,financial_aid,previous_counseling,dropout_within_1yr
S0001,2023-08-01,19,F,3.4,88,12,18,2,1,0,0
S0002,2022-01-15,21,M,2.1,62,6,4,0,0,1,1
S0003,2023-09-10,20,F,2.8,70,9,8,1,1,0,0
S0004,2023-07-05,22,M,1.9,55,3,2,0,0,1,1
S0005,2023-08-20,23,F,3.6,92,14,20,3,1,0,0
S0006,2022-02-11,22,M,2.5,68,7,6,1,0,1,1
S0007,2023-06-18,19,F,2.2,60,5,5,0,0,0,1
S0008,2023-07-25,20,M,3.1,80,10,12,2,1,0,0
S0009,2022-11-30,21,F,1.8,50,4,3,0,0,1,1
S0010,2023-09-02,22,M,3.7,95,15,22,4,1,0,0
S0011,2023-08-15,20,F,2.6,65,7,6,1,0,0,1
S0012,2022-10-05,21,M,2.9,72,8,9,1,1,1,0
S0013,2023-07-18,23,F,1.7,48,3,2,0,0,1,1
S0014,2023-09-01,19,M,3.2,85,11,15,2,1,0,0
S0015,2022-12-12,20,F,2.0,58,5,4,0,0,1,1
S0016,2023-08-30,21,M,3.8,96,16,23,5,1,0,0
S0017,2022-09-14,22,F,2.3,62,6,5,1,0,1,1
S0018,2023-07-10,20,M,3.5,90,13,19,3,1,0,0
S0019,2023-09-03,21,F,1.9,52,4,3,0,0,1,1
S0020,2023-08-12,22,M,3.0,78,9,11,2,1,0,0
S0021,2022-11-01,23,F,2.4,64,6,6,1,0,0,1
S0022,2023-07-28,20,M,3.3,86,12,17,2,1,0,0
S0023,2023-09-08,19,F,2.1,60,5,5,0,0,1,1
S0024,2022-08-20,22,M,2.7,70,8,8,1,1,0,0
S0025,2023-07-30,20,F,1.8,54,3,2,0,0,1,1
S0026,2023-08-18,21,M,3.9,97,16,24,4,1,0,0
S0027,2023-09-04,22,F,2.2,62,6,5,1,0,0,1
S0028,2022-10-30,20,M,3.4,89,13,18,3,1,0,0
S0029,2023-08-22,19,F,1.6,45,2,1,0,0,1,1
S0030,2023-09-06,21,M,3.1,81,10,13,2,1,0,0
S0031,2022-11-18,20,F,2.5,68,7,7,1,0,0,1
S0032,2023-08-05,22,M,3.6,93,14,21,4,1,0,0
S0033,2023-07-15,23,F,2.0,56,5,4,0,0,1,1
S0034,2023-09-09,19,M,3.3,87,12,16,2,1,0,0
S0035,2022-12-25,21,F,2.7,72,8,9,1,1,0,0
S0036,2023-08-08,20,M,1.9,53,4,3,0,0,1,1
S0037,2023-07-22,22,F,3.2,84,11,14,2,1,0,0
S0038,2023-09-07,21,M,2.4,66,7,6,1,0,0,1
S0039,2022-10-14,20,F,3.0,79,9,10,2,1,0,0
S0040,2023-08-28,22,M,1.7,49,3,2,0,0,1,1
S0041,2023-07-11,21,F,3.5,91,13,20,3,1,0,0
S0042,2023-09-12,19,M,2.1,61,5,5,0,0,1,1
S0043,2022-11-08,22,F,3.7,94,15,22,4,1,0,0
S0044,2023-08-14,20,M,2.6,67,7,7,1,0,0,1
S0045,2023-09-01,21,F,3.2,83,11,15,2,1,0,0
S0046,2022-09-25,23,M,1.8,52,4,3,0,0,1,1
S0047,2023-08-25,20,F,3.4,88,12,17,2,1,0,0
S0048,2023-07-29,22,M,2.9,74,8,9,1,1,0,0
S0049,2022-10-20,21,F,1.9,55,3,2,0,0,1,1
S0050,2023-09-05,19,M,3.8,96,15,23,4,1,0,0
